Metadata associated with the characterized prophages
Host AccesionNumber,PhageID,SpeciesID,GenusID,IsolationSource,Host,Country
GCA_030848165,CP126820.1||0,1,1,N/A,E. hormaechei,N/A
GCA_030863725,CP115001.1||0,1,1,N/A,E. hormaechei,N/A
GCA_031165635,CP133337.1||0,1,1,N/A,E. hormaechei,N/A
GCA_036324645,CP143335.1||0,1,1,N/A,E. hormaechei,N/A
GCA_040735515,CP138220.1||0,1,1,N/A,E. hormaechei,N/A
GCA_041004285,CP163058.1||0,1,1,N/A,E. hormaechei,N/A
GCA_041004465,CP163087.1||0,1,1,N/A,E. hormaechei,N/A
GCA_041937165,CP154354.1||0,1,1,N/A,E. adelaidei,N/A
GCA_905233045,OW849321.1||0,1,1,N/A,E. asburiae,N/A
GCA_905233075,OW849504.1||0,1,1,N/A,E. asburiae,N/A
GCA_010319625,AP019817.1||1,2,2,N/A,E. hormaechei,Japan
GCA_017161605,CP071009.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_017161725,CP071011.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_017161765,CP071025.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_017161785,CP071021.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_017161805,CP071013.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_017161825,CP071015.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_017161845,CP071019.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_017161865,CP071023.1||1,2,2,N/A,E. hormaechei,Netherlands
GCA_023734795,AP025764.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023734815,AP025767.1||1,2,2,N/A,E. hormaechei,Japan
GCA_023734835,AP025770.1||4,2,2,N/A,E. hormaechei,Japan
GCA_023734855,AP025772.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023734875,AP025774.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023734895,AP025777.1||1,2,2,N/A,E. hormaechei,Japan
GCA_023734915,AP025780.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023734935,AP025782.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023734975,AP025787.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023734995,AP025790.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023735015,AP025792.1||3,2,2,N/A,E. hormaechei,Japan
GCA_023735035,AP025795.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023735055,AP025797.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023735075,AP025799.1||3,2,2,N/A,E. hormaechei,Japan
GCA_023735195,AP025804.1||0,2,2,N/A,E. hormaechei,Japan
GCA_023735235,AP025810.1||3,2,2,N/A,E. hormaechei,Japan
GCA_023735255,AP025812.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023735315,AP025821.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023735335,AP025824.1||4,2,2,N/A,E. hormaechei,Japan
GCA_023735355,AP025827.1||2,2,2,N/A,E. hormaechei,Japan
GCA_023735375,AP025830.1||1,2,2,N/A,E. hormaechei,Japan
GCA_023735395,AP025833.1||1,2,2,N/A,E. hormaechei,Japan
GCA_023735435,AP025839.1||2,2,2,N/A,E. hormaechei,Japan
GCA_024182005,AP025836.1||2,2,2,N/A,E. hormaechei,Japan
GCA_041378915,CP166888.1||3,2,2,Human,E. hormaechei,Taiwan
GCA_041378925,CP166892.1||3,2,2,Human,E. hormaechei,Taiwan
GCA_905232035,OW849522.1||0,2,2,Human,E. hormaechei,Spain
GCA_905232455,OW849101.1||2,2,2,Human,E. hormaechei,Spain
GCA_905232525,OW849198.1||2,2,2,Human,E. hormaechei,Spain
GCA_905232845,OW849306.1||3,2,2,Human,E. hormaechei,Spain
GCA_905322515,OW967014.1||0,2,2,Human,E. hormaechei,Spain
GCA_905330775,OX030695.1||3,2,2,Human,E. hormaechei,Spain
GCA_002201815,CP021897.1||full,3,3,N/A,E. hormaechei,N/A
GCA_010319625,AP019819.1||full,3,3,N/A,E. hormaechei,N/A
GCA_021398115,CP090193.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023734835,AP025771.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023734895,AP025779.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735015,AP025794.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735195,AP025806.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735315,AP025823.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735335,AP025825.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735355,AP025829.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735375,AP025832.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735395,AP025835.1||full,3,3,N/A,E. hormaechei,N/A
GCA_023735435,AP025841.1||full,3,3,N/A,E. hormaechei,N/A
GCA_024182005,AP025838.1||full,3,3,N/A,E. hormaechei,N/A
GCA_030847805,CP126865.1||full,3,3,N/A,E. hormaechei,N/A
GCA_041005335,CP163106.1||full,3,3,N/A,E. hormaechei,N/A
GCA_041378885,CP166902.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905231985,OW849459.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905232455,OW849102.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905232525,OW849200.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905232845,OW849307.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905233055,OW849304.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905322485,OW967486.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905322515,OW967015.1||full,3,3,N/A,E. hormaechei,N/A
GCA_905329655,OW967213.1||full,3,3,N/A,E. hormaechei,N/A
GCA_002947755,CP026719.1||4,4,13,N/A,E. hormaechei,N/A
GCA_007556795,CP041733.1||4,4,13,N/A,E. hormaechei,N/A
GCA_013731155,CP056155.1||3,4,13,Environmental,E. hormaechei,United Kingdom
GCA_013747035,CP056707.1||4,4,13,Environmental,E. hormaechei,United Kingdom
GCA_020097195,CP083613.1||4,4,13,N/A,E. hormaechei,Germany
GCA_020695685,CP085767.1||4,4,13,Human,E. hormaechei,Czech Republic
GCA_020695705,CP085774.1||7,4,13,Human,E. hormaechei,Czech Republic
GCA_024917635,CP103642.1||7,4,13,Human,E. hormaechei,USA
GCA_025311535,CP104401.1||6,4,13,N/A,E. hormaechei,Poland
GCA_025311555,CP104403.1||6,4,13,N/A,E. hormaechei,Poland
GCA_025311595,CP104405.1||6,4,13,N/A,E. hormaechei,Poland
GCA_026109755,CP095276.1||3,4,13,Human,E. hormaechei,China
GCA_027577865,CP114144.1||4,4,13,Human,E. hormaechei,USA
GCA_028872235,CP118383.1||4,4,13,Human,E. hormaechei,USA
GCA_028891505,CP118552.1||4,4,13,Human,E. hormaechei,USA
GCA_029962565,CP096994.1||7,4,13,N/A,E. hormaechei,Hong Kong
GCA_030732205,CP132232.1||0,4,13,Environmental,E. hormaechei,China
GCA_031432895,CP133859.1||6,4,13,Human,E. hormaechei,United Kingdom
GCA_905232045,OW849173.1||5,4,13,Human,E. hormaechei,Spain
GCA_905232125,OW849162.1||5,4,13,Human,E. hormaechei,Spain
GCA_905232625,OW849142.1||5,4,13,Human,E. hormaechei,Spain
GCA_905232645,OW849360.1||5,4,13,Human,E. hormaechei,Spain
GCA_905330885,OW968469.1||5,4,13,Human,E. hormaechei,Spain
GCA_009834325,CP034754.1||1,5,17,N/A,E. hormaechei,USA
GCA_017161605,CP071009.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161725,CP071011.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161745,CP071017.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161765,CP071025.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161785,CP071021.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161805,CP071013.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161825,CP071015.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161845,CP071019.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_017161865,CP071023.1||0,5,17,N/A,E. hormaechei,Netherlands
GCA_021397695,CP090146.1||0,5,17,Human,E. hormaechei,Taiwan
GCA_021398115,CP090192.1||0,5,17,Human,E. hormaechei,Taiwan
GCA_021725435,CP091319.1||0,5,17,Human,E. hormaechei,China
GCA_023735435,AP025839.1||0,5,17,N/A,E. hormaechei,Japan
GCA_024182005,AP025836.1||0,5,17,N/A,E. hormaechei,Japan
GCA_025266795,CP098486.1||0,5,17,N/A,E. hormaechei,China
GCA_041378885,CP166901.1||0,5,17,Human,E. hormaechei,Taiwan
GCA_041378905,CP166883.1||0,5,17,Human,E. hormaechei,Taiwan
GCA_041378915,CP166888.1||0,5,17,Human,E. hormaechei,Taiwan
GCA_041378925,CP166892.1||0,5,17,Human,E. hormaechei,Taiwan
GCA_041410215,CP166979.1||0,5,17,Human,E. hormaechei,Taiwan
GCA_905232845,OW849306.1||1,5,17,Human,E. hormaechei,Spain
GCA_000814225,CP010384.1||3,6,5,Human,E. hormaechei,USA
GCA_002787395,CP024812.1||3,6,5,Human,E. hormaechei,South Korea
GCA_003053755,CP027604.1||2,6,5,N/A,E. hormaechei,N/A
GCA_008931405,CP042488.1||1,6,5,Human,E. hormaechei,Australia
GCA_016126855,CP065939.1||2,6,5,Human,E. hormaechei,Australia
GCA_021491635,CP090796.1||1,6,5,Human,E. hormaechei,China
GCA_030847665,CP126824.1||2,6,5,Animal,E. hormaechei,Switzerland
GCA_030847685,CP126815.1||2,6,5,Animal,E. hormaechei,Switzerland
GCA_030848085,CP126798.1||4,6,5,Human,E. hormaechei,Switzerland
GCA_030848105,CP126804.1||1,6,5,Human,E. hormaechei,Switzerland
GCA_030848125,CP126807.1||2,6,5,Animal,E. hormaechei,Switzerland
GCA_030848145,CP126811.1||2,6,5,Animal,E. hormaechei,Switzerland
GCA_030848165,CP126819.1||2,6,5,Animal,E. hormaechei,Switzerland
GCA_030848185,CP126827.1||2,6,5,Animal,E. hormaechei,Switzerland
GCA_040437135,CP159160.1||0,6,5,N/A,E. hormaechei,China
GCA_040437535,CP159161.1||0,6,5,N/A,E. hormaechei,China
GCA_905232775,OW849483.1||2,6,5,Human,E. hormaechei,Spain
GCA_905233035,OW849382.1||4,6,5,Human,E. hormaechei,Spain
GCA_905322535,OW967388.1||1,6,5,Human,E. hormaechei,Spain
GCA_905331095,OW968296.1||2,6,5,Human,E. hormaechei,Spain
GCA_905335505,OW969715.1||2,6,5,Human,E. hormaechei,Spain
GCA_023735515,AP025855.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735535,AP025859.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735615,AP025863.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735695,AP025867.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735715,AP025871.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735735,AP025875.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735755,AP025879.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735775,AP025883.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735795,AP025887.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735815,AP025891.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735835,AP025895.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735855,AP025899.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735875,AP025903.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735895,AP025907.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735915,AP025911.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735935,AP025915.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735955,AP025919.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735975,AP025923.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023735995,AP025927.1||0.2,7,22,N/A,E. hormaechei,Japan
GCA_023736015,AP025931.1||0,7,22,N/A,E. hormaechei,Japan
GCA_023735515,AP025855.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735535,AP025859.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735615,AP025863.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735695,AP025867.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735715,AP025871.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735735,AP025875.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735755,AP025879.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735775,AP025883.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735795,AP025887.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735815,AP025891.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735835,AP025895.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735855,AP025899.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735875,AP025903.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735895,AP025907.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735915,AP025911.1||2,8,18,N/A,E. hormaechei,Japan
GCA_023735935,AP025915.1||2,8,18,N/A,E. hormaechei,Japan
GCA_023735955,AP025919.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735975,AP025923.1||1,8,18,N/A,E. hormaechei,Japan
GCA_023735995,AP025927.1||2,8,18,N/A,E. hormaechei,Japan
GCA_023736015,AP025931.1||1,8,18,N/A,E. hormaechei,Japan
GCA_000807405,CP012165.1||4,9,21,Human,E. hormaechei,USA
GCA_001922365,CP018814.1||4,9,21,N/A,E. hormaechei,N/A
GCA_002192395,CP021776.1||5,9,21,N/A,E. hormaechei,N/A
GCA_002204775,CP021902.1||5,9,21,N/A,E. hormaechei,N/A
GCA_003382725,CP029246.1||7,9,21,N/A,E. hormaechei,USA
GCA_003586025,CP024908.1||7,9,21,Animal,E. hormaechei,USA
GCA_003964795,CP043382.1||4,9,21,Human,E. hormaechei,China
GCA_018075005,CP072945.1||4,9,21,Clinical,E. hormaechei,N/A
GCA_018075245,CP072970.1||7,9,21,Clinical,E. hormaechei,N/A
GCA_019056655,CP077661.1||4,9,21,Clinical,E. hormaechei,China
GCA_022376815,CP066553.1||8,9,21,Environmental,E. hormaechei,USA
GCA_028532685,CP116959.1||4,9,21,Human,E. hormaechei,USA
GCA_030863685,CP114994.1||4,9,21,Animal,E. hormaechei,Thailand
GCA_030863705,CP114997.1||4,9,21,Animal,E. hormaechei,Thailand
GCA_030863745,CP115004.1||4,9,21,Animal,E. hormaechei,Thailand
GCA_905232075,OW849508.1||4,9,21,Human,E. hormaechei,Spain
GCA_905232535,OW849188.1||4,9,21,Human,E. hormaechei,Spain
GCA_905331005,OW968396.1||4,9,21,Human,E. hormaechei,Spain
GCA_905335515,OW969698.1||4,9,21,Human,E. hormaechei,Spain
GCA_010319625,AP019817.1||0,10,12,N/A,E. hormaechei,Japan
GCA_021397695,CP090146.1||1,10,12,Human,E. hormaechei,Taiwan
GCA_021398115,CP090192.1||1,10,12,Human,E. hormaechei,Taiwan
GCA_023734835,AP025770.1||2,10,12,N/A,E. hormaechei,Japan
GCA_023734895,AP025777.1||0,10,12,N/A,E. hormaechei,Japan
GCA_023735015,AP025792.1||0,10,12,N/A,E. hormaechei,Japan
GCA_023735075,AP025799.1||1,10,12,N/A,E. hormaechei,Japan
GCA_023735235,AP025810.1||0,10,12,N/A,E. hormaechei,Japan
GCA_023735335,AP025824.1||1,10,12,N/A,E. hormaechei,Japan
GCA_023735355,AP025827.1||1,10,12,N/A,E. hormaechei,Japan
GCA_023735375,AP025830.1||0,10,12,N/A,E. hormaechei,Japan
GCA_023735395,AP025833.1||0,10,12,N/A,E. hormaechei,Japan
GCA_023735435,AP025839.1||1,10,12,N/A,E. hormaechei,Japan
GCA_024182005,AP025836.1||1,10,12,N/A,E. hormaechei,Japan
GCA_041378905,CP166883.1||1,10,12,Human,E. hormaechei,Taiwan
GCA_041378915,CP166888.1||1,10,12,Human,E. hormaechei,Taiwan
GCA_041378925,CP166892.1||2,10,12,Human,E. hormaechei,Taiwan
GCA_041410215,CP166979.1||1,10,12,Human,E. hormaechei,Taiwan
GCA_016939555,CP070534.1||0,11,9,Human,E. hormaechei,Czech Republic
GCA_023735515,AP025855.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735535,AP025859.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735615,AP025863.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735695,AP025867.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735715,AP025871.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735735,AP025875.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735755,AP025879.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735775,AP025883.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735795,AP025887.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735815,AP025891.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735835,AP025895.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735855,AP025899.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735875,AP025903.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735895,AP025907.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735955,AP025919.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_023735975,AP025923.1||0.1,11,9,N/A,E. hormaechei,Japan
GCA_002968455,CP027142.1||5,12,8,N/A,E. hormaechei,N/A
GCA_009834325,CP034754.1||4,12,8,N/A,E. hormaechei,USA
GCA_014117285,CP059711.1||5,12,8,Human,E. hormaechei,China
GCA_015136055,AP022452.1||5,12,8,N/A,E. kobei,Japan
GCA_028898905,CP118567.1||2,12,8,Human,E. hormaechei,USA
GCA_030413825,CP129250.1||3,12,8,Human,E. hormaechei,Senegal
GCA_038418305,CP157756.1||4,12,8,Human,E. hormaechei,USA
GCA_038627095,CP157332.1||1,12,8,Human,E. hormaechei,USA
GCA_040455895,CP167101.1||4,12,8,Human,E. hormaechei,USA
GCA_041378885,CP166901.1||2,12,8,Human,E. hormaechei,Taiwan
GCA_905232045,OW849173.1||4,12,8,Human,E. hormaechei,Spain
GCA_905232125,OW849162.1||4,12,8,Human,E. hormaechei,Spain
GCA_905232625,OW849142.1||4,12,8,Human,E. hormaechei,Spain
GCA_905232645,OW849360.1||4,12,8,Human,E. hormaechei,Spain
GCA_905232815,OW849516.1||5,12,8,Human,E. hormaechei,Spain
GCA_905329565,OW967363.1||5,12,8,Human,E. hormaechei,Spain
GCA_905330885,OW968469.1||4,12,8,Human,E. hormaechei,Spain
GCA_000814225,CP010384.1||5,13,7,Human,E. hormaechei,USA
GCA_003053755,CP027604.1||5,13,7,N/A,E. hormaechei,N/A
GCA_003428425,CP031726.1||3,13,7,N/A,E. hormaechei,China
GCA_008931405,CP042488.1||2,13,7,Human,E. hormaechei,Australia
GCA_009728975,CP046271.1||4,13,7,Human,E. hormaechei,China
GCA_014771415,CP061744.1||4,13,7,Human,E. hormaechei,China
GCA_015535055,CP064656.1||4,13,7,Human,E. hormaechei,China
GCA_016126855,CP065939.1||3,13,7,Human,E. hormaechei,Australia
GCA_017310485,CP064113.1||3,13,7,N/A,E. hormaechei,China
GCA_019537295,JAIEUG010000001.1||4,13,7,Human,E. hormaechei,China
GCA_021491635,CP090796.1||2,13,7,Human,E. hormaechei,China
GCA_023547485,CP053643.1||4,13,7,Human,E. hormaechei,China
GCA_023897035,CP053691.1||4,13,7,Human,E. hormaechei,China
GCA_030847905,CP126753.1||8,13,7,Animal,E. hormaechei,Switzerland
GCA_030847925,CP126757.1||8,13,7,Animal,E. hormaechei,Switzerland
GCA_031166165,CP133342.1||3,13,7,Clinical,E. hormaechei,N/A
GCA_905233035,OW849382.1||6,13,7,Human,E. hormaechei,Spain
GCA_023735475,AP025847.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735515,AP025855.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735535,AP025859.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735615,AP025863.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735695,AP025867.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735715,AP025871.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735735,AP025875.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735755,AP025879.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735795,AP025887.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735815,AP025891.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735835,AP025895.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735855,AP025899.1||2,14,29,N/A,E. hormaechei,Japan
GCA_023735875,AP025903.1||2,14,29,N/A,E. hormaechei,Japan
